catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
5816,SCL,NA,F,SS,169,77,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/3/1939,4,3,1939
5817,SCL,NA,M,SS,164,72,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/4/1939,4,4,1939
5818,SCL,NA,M,SS,168,76,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/4/1939,4,4,1939
5819,SCL,NA,M,SS,170,79,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/4/1939,4,4,1939
5820,SCL,NA,F,SS,167,75,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/4/1939,4,4,1939
5821,SCL,NA,F,SS,169,77,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/4/1939,4,4,1939
5822,SCL,NA,M,SS,165,75,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/3/1939,4,3,1939
5823,SCL,NA,M,SS,194,95,23,21,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/2/1939,4,2,1939
5824,SCL,NA,M,SS,197,96,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/2/1939,4,2,1939
5825,SCL,NA,F,SS,196,95,23,21,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/2/1939,4,2,1939
5826,SCL,NA,F,SS,198,97,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/2/1939,4,2,1939
5827,SCL,NA,M,SS,188,86,22,20,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/5/1939,4,5,1939
5828,SCL,NA,M,SS,184,87,22,20,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/5/1939,4,5,1939
5829,SCL,NA,F,SS,185,87,22,20,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/5/1939,4,5,1939
5830,SCL,NA,M,SS,180,85,22,20,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/7/1939,4,7,1939
5831,SCL,NA,M,SS,201,97,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/2/1939,4,2,1939
5832,SCL,NA,M,SS,205,100,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/2/1939,4,2,1939
5833,SCL,truei,F,SS,201,99,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/3/1939,4,3,1939
5834,SCL,truei,M,SS,207,105,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Chinetti Canyon,,4/3/1939,4,3,1939
5835,SCL,NA,M,SS,208,103,23,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Pyramid Cove,,4/8/1939,4,8,1939
5840,SBI,NA,F,SS,173,74,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5841,SBI,NA,F,SS,173,74,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5842,SBI,NA,F,SS,182,82,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5843,SBI,NA,F,SS,170,72,20,19,,TRUE,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5844,SBI,NA,F,SS,164,70,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5845,SBI,NA,M,SS,163,74,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5846,SBI,NA,M,SS,157,75,20,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5847,SBI,NA,M,SS,157,70,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5848,SBI,NA,M,SS,149,70,20,17,TRUE,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5849,SBI,NA,M,SS,146,65,20,16,TRUE,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/28/1939,5,28,1939
5850,SBI,NA,F,SS,183,80,22,20,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5851,SBI,NA,F,SS,171,74,21,18,,TRUE,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5852,SBI,NA,F,SO,172,76,21,18,,TRUE,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
